title,company,location,salary,description,skills,source,salary_min,salary_max,salary_period,standardized_title,experience_years,education_level,city,state,standardized_title_encoded,company_encoded,city_encoded,state_encoded,education_level_encoded,salary_period_encoded,source_encoded,salary_min_scaled,salary_max_scaled,experience_years_scaled,Python,Java,JavaScript,C++,C#,SQL,NoSQL,MongoDB,React,Angular,Vue,Node.js,AWS,Azure,GCP,Docker,Kubernetes,Git,CI/CD,Jenkins,TensorFlow,PyTorch,Scikit-learn,Pandas,NumPy,R,Tableau,Power BI,Excel,Machine Learning,Deep Learning,NLP,Computer Vision,Data Analysis,Data Visualization,Statistics,Agile,Scrum,Project Management,REST API,GraphQL,Django,Flask,Spring,Hibernate,TypeScript,Go,Rust,Swift,Kotlin,PHP,Ruby,Rails,Linux,Unix,Windows Server,desc_svd_0,desc_svd_1,desc_svd_2,desc_svd_3,desc_svd_4,desc_svd_5,desc_svd_6,desc_svd_7,desc_svd_8,desc_svd_9,city_state,is_tech_hub,state_CA,state_CO,state_FL,state_GA,state_IL,state_MA,state_NY,state_TX,state_WA,is_tech_giant,experience_level,exp_Not Specified,exp_Entry Level,exp_Mid Level,exp_Senior,exp_Expert,education_rank,edu_Bachelor's,edu_Master's,edu_Not Specified,salary_avg,salary_annual,salary_range,salary_range_pct
Software Engineer,SecureIT,"Chicago, IL",$76332 - $100745,However around treatment still while. Scientist win although daughter teacher. Door who site organization political their learn.,"GCP, Vue, Swift, TensorFlow, Python, Data Analysis, C++, Kotlin",SimplyHired,76332.0,100745.0,annual,Software Engineer,,Not Specified,Chicago,IL,5,7,3,4,2,0,2,0.09371889320294453,0.37070338022312466,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1438895519039954,0.08579117606597804,0.005032320909116605,-0.03239907095939984,-0.06069679351403383,-0.11045507004943739,0.07645665132355285,0.21221363656425238,-0.03793210296740443,-0.023256876402888337,Chicago_IL,0,False,False,False,False,True,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,88538.5,88538.5,24413.0,31.982654718859717
Full Stack Developer,TechCorp,"New York, NY",$68834 - $95811,Question off science yet describe like health. Unit free data fall rate husband suffer. Executive produce either right. Degree bar finish law send city bed. Event go one apply push indicate reduce.,"Scikit-learn, GCP, Git, Deep Learning, Ruby, Excel",SimplyHired,68834.0,95811.0,annual,Software Engineer,,Bachelor's,New York,NY,5,8,7,6,0,0,2,-0.43283563401692243,0.05077194790682324,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.17513638040308374,-0.1720383389625452,-0.03531971935040944,0.11449943602842388,0.181554123550739,-0.04255084202147701,0.07556220310535619,0.01454210805661315,-0.05308232035142216,-0.005445999222994095,New York_NY,1,False,False,False,False,False,False,True,False,False,0,Not Specified,True,False,False,False,False,3,True,False,False,82322.5,82322.5,26977.0,39.191387976871894
Data Scientist,SecureIT,"Austin, TX",$97245 - $111431,Including create employee morning animal mouth. Rest understand parent brother. Visit food return together foot. Might leg popular sit somebody. Entire direction down sign unit design plant.,"TensorFlow, C#, Data Analysis, Node.js, Kotlin, Linux, JavaScript, Scrum, Vue, Deep Learning",CareerBuilder,97245.0,111431.0,annual,Data Scientist,,Not Specified,Austin,TX,0,7,1,7,2,0,0,1.562355173244166,1.0636071673597274,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0976673038153831,-0.01318024376587172,0.006753084765997208,-0.019879582928434378,-0.026655204284224018,0.15909866007672516,0.0013115253081731337,0.029449301965779124,-0.12955852263409842,-0.07776487560310179,Austin_TX,1,False,False,False,False,False,False,False,True,False,0,Not Specified,True,False,False,False,False,0,False,False,True,104338.0,104338.0,14186.0,14.587896549951154
Data Scientist,AI Solutions,"Chicago, IL",$63553 - $83311,Small fund exist message across. Rise bank agree tough do treat form. Reduce he key tend part wish stuff customer.,"Computer Vision, Django, Statistics, Kubernetes",CareerBuilder,63553.0,83311.0,annual,Data Scientist,,Bachelor's,Chicago,IL,0,0,3,4,0,0,0,-0.8036991253810352,-0.7597555964697005,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13414773762288357,0.18954156680183676,-0.09848808296116969,0.06235002506221533,-0.0628777417869826,-0.006392810759429206,0.060553017346000465,-0.22189899852215206,-0.07716653146835176,0.04087694839014919,Chicago_IL,0,False,False,False,False,True,False,False,False,False,0,Not Specified,True,False,False,False,False,3,True,False,False,73432.0,73432.0,19758.0,31.089012320425475
UX/UI Designer,AI Solutions,"San Francisco, CA",$75835 - $94363,Special own on financial. Safe dog fly once similar. Admit receive figure nature week wonder sure. Nation environmental memory. Evening agency carry thus improve.,"Pandas, Scrum, Go",SimplyHired,75835.0,94363.0,annual,UX/UI Designer,,Not Specified,San Francisco,CA,6,0,8,0,2,0,2,0.058816572580341994,-0.04311956283375327,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133564868755159,-0.025600504402886977,-0.011565072623598079,-0.16790485089190266,-0.03620486339951769,-0.08545099377070084,-0.11960776936384585,0.10244433167099223,-0.12293491100166984,0.24187186682169226,San Francisco_CA,1,True,False,False,False,False,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,85099.0,85099.0,18528.0,24.431990505703173
Software Engineer,SecureIT,"New York, NY",$85303 - $101991,Avoid sure product space event. Color season thousand guess over buy. Style tree serve air although. School break impact voice.,"Data Analysis, React, Hibernate, NLP, Statistics, Git, Power BI, C#, TypeScript",Glassdoor,85303.0,101991.0,annual,Software Engineer,,Not Specified,New York,NY,5,7,7,6,2,0,1,0.7237163143405048,0.45149676584657655,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17348187655717137,0.17841962390045857,-0.007335991961752726,0.014033749319553467,0.06416007671832855,-0.06874899393376803,-0.052837482419797924,0.10584883117729796,0.08256100925823918,-0.15580599693444797,New York_NY,1,False,False,False,False,False,False,True,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,93647.0,93647.0,16688.0,19.563204107710163
Machine Learning Engineer,WebWizards,"San Francisco, CA",$51522 - $78388,College president wall tax recently wait fine. Ok value line experience. Production spend wide fill.,"Statistics, Rust, Jenkins, MongoDB",SimplyHired,51522.0,78388.0,annual,Machine Learning Engineer,,Not Specified,San Francisco,CA,2,9,8,0,2,0,2,-1.6485880980380396,-1.0789737645469506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14759608018084036,-0.005935000953425154,-0.025093790864075614,-0.21014276780299154,0.18941140656163513,0.13532040112951302,-0.1306962891354075,-0.11951525112181033,-0.0467854249940344,0.06977823625111822,San Francisco_CA,1,True,False,False,False,False,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,64955.0,64955.0,26866.0,52.14471487908078
Machine Learning Engineer,FutureTech,"Chicago, IL",$65528 - $85110,Or street during watch mission a. Out necessary room part long likely enter. Evening reduce training. Agent must early attack news.,"Vue, PyTorch, Linux, TypeScript, Docker",Glassdoor,65528.0,85110.0,annual,Machine Learning Engineer,,Not Specified,Chicago,IL,2,5,3,4,2,0,1,-0.6650027808545965,-0.6431044722830311,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chicago_IL,0,False,False,False,False,True,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,75319.0,75319.0,19582.0,29.883408619216212
Data Scientist,SecureIT,"Austin, TX",$93062 - $104401,To order security hear mother drive some. With democratic management power work since hand. Must cup per too tend end far. Until their practice be special political. Soon red reveal responsibility sound challenge concern.,"Pandas, Azure, NLP, Git, Kotlin, Windows Server, Ruby, Excel",SimplyHired,93062.0,104401.0,annual,Data Scientist,,Not Specified,Austin,TX,0,7,1,7,2,0,2,1.2685998268370302,0.6077664764023704,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20279956883948314,0.08151047971129177,-0.03086265809452448,0.023750223921562962,-0.018094588727672504,-0.12828029035170427,0.010597796807610534,0.057525185030495384,-0.010604494253261758,0.042499585760190486,Austin_TX,1,False,False,False,False,False,False,False,True,False,0,Not Specified,True,False,False,False,False,0,False,False,True,98731.5,98731.5,11339.0,12.184350218134147
Product Manager,TechCorp,"Los Angeles, CA",$78605 - $102828,Career agree man. Floor ever some final person film. Rich someone first commercial when time moment. Computer animal concern certain both.,"MongoDB, TensorFlow, Agile, Swift",Glassdoor,78605.0,102828.0,annual,Product Manager,,Not Specified,Los Angeles,CA,4,8,5,0,2,0,1,0.25334258490349904,0.5057696902180286,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles_CA,1,True,False,False,False,False,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,90716.5,90716.5,24223.0,30.816105845684117
Cloud Engineer,DataWorks,"Seattle, WA",$83566 - $101431,Feeling claim from begin catch visit increase people. Hundred statement choose national. Past product author situation understand. Detail star sort effect reach war. Similar thus first meeting tell. Common room scientist civil.,"Git, NumPy, NLP, React, Python, Agile, MongoDB, Data Visualization, JavaScript, Computer Vision",CareerBuilder,83566.0,101431.0,annual,DevOps Engineer,,Not Specified,Seattle,WA,1,3,9,8,2,0,0,0.6017337571544673,0.4151851318585083,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2477550153070139,0.0721120617379731,-0.03606150483978074,0.2480192841758105,0.018469748157240395,-0.13258995547429053,0.007162163114227717,-0.09023088798865078,-0.0965113472981819,-0.013078972057131905,Seattle_WA,1,False,False,False,False,False,False,False,False,True,0,Not Specified,True,False,False,False,False,0,False,False,True,92498.5,92498.5,17865.0,21.378311753583993
Software Engineer,Cloudify,"New York, NY",$73694 - $91091,Poor listen card structure believe defense. Customer friend way our. Early water must allow.,"Power BI, NLP, Azure, Agile, Tableau, Git, C#, Hibernate",Glassdoor,73694.0,91091.0,annual,Software Engineer,,Not Specified,New York,NY,5,1,7,6,2,0,1,-0.09153728748604041,-0.2552832528497521,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New York_NY,1,False,False,False,False,False,False,True,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,82392.5,82392.5,17397.0,23.607077916791056
Frontend Developer,AI Solutions,"Seattle, WA",$82562 - $108499,Hospital range building pull section. Over west section note pull. Sometimes crime day oil get store. Stock leg already kind product.,"Rails, C++, PyTorch, Data Visualization, Pandas, C#, GCP, Jenkins, Spring, Hibernate",CareerBuilder,82562.0,108499.0,annual,Software Engineer,,Not Specified,Seattle,WA,5,0,9,8,2,0,0,0.5312268559369765,0.8734898265507699,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12884386881145554,-0.0390934506878801,-0.1013449542325161,0.1892067518341154,-0.10650430111136591,-0.09963564267050126,-0.10441257270126353,0.11949905627117142,0.19763213375326155,-0.029319503271381085,Seattle_WA,1,False,False,False,False,False,False,False,False,True,0,Not Specified,True,False,False,False,False,0,False,False,True,95530.5,95530.5,25937.0,31.41517889586008
Frontend Developer,WebWizards,"Los Angeles, CA",$66583 - $82565,Her word get quickly. Population minute possible. Doctor product toward generation.,"MongoDB, NoSQL, TensorFlow, Tableau, Scrum, C#, Java, Angular, TypeScript, Linux",SimplyHired,66583.0,82565.0,annual,Software Engineer,,Not Specified,Los Angeles,CA,5,9,5,0,2,0,2,-0.5909143537784483,-0.8081278803180915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13779424580553534,-0.1339755277458326,0.03549628083025233,0.10116742740644237,-0.07214489654476591,0.1745980278621403,0.03261169495851665,-0.021070338473464803,0.06439056833743739,0.17616788178705786,Los Angeles_CA,1,True,False,False,False,False,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,74574.0,74574.0,15982.0,24.003123920520252
Full Stack Developer,TechCorp,"Los Angeles, CA",$87261 - $102098,Continue television decision media research seek hotel reveal. Left experience alone growth without begin try. Offer apply that seem cell model. Oil name computer. Have possible summer popular significant organization. Natural anything card movement.,"Ruby, Django, Git, JavaScript, AWS, Data Visualization, NLP",Glassdoor,87261.0,102098.0,annual,Software Engineer,,Not Specified,Los Angeles,CA,5,8,5,0,2,0,1,0.8612188169140577,0.4584348816264396,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2250355686552006,-0.10330542468952313,0.011945889733894426,-0.015546247515476227,-0.2644216685000964,0.21595136726308328,-0.1538512259202986,0.008016451251259235,-0.058975180433322553,0.07600485407400691,Los Angeles_CA,1,True,False,False,False,False,False,False,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,94679.5,94679.5,14837.0,17.00301394666575
Frontend Developer,DataWorks,"New York, NY",$71028 - $85256,Peace every conference attorney. Sort deal site accept young meeting. Likely you member none TV writer letter. Available mission market goal.,"Angular, TypeScript, Pandas, Data Visualization, Python, Data Analysis, Agile, PHP",CareerBuilder,71028.0,85256.0,annual,Software Engineer,,Not Specified,New York,NY,5,3,7,6,2,0,0,-0.2787597960974255,-0.6336375105647134,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166650459594648,-0.028230598773619896,-0.09253140564505113,0.03627818736014783,-0.10331766819607084,-0.008296708189040942,-0.07243773393183264,-0.041213283291441465,-0.08905699557684058,-0.07130697172643949,New York_NY,1,False,False,False,False,False,False,True,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,78142.0,78142.0,14228.0,20.03153685870361
Product Manager,DevOpsPro,"New York, NY",$75791 - $90745,His past view hundred each. Under result bill. Purpose report expert father however. Leader picture four election manager. Nothing break those hair. Coach fish tend write.,"NoSQL, React, Rails, Swift, Data Analysis, MongoDB, Kubernetes, Angular",CareerBuilder,75791.0,90745.0,annual,Product Manager,,Not Specified,New York,NY,4,4,7,6,2,0,0,0.05572662870228462,-0.2777186552780943,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1749697021050282,0.09217823774088801,-0.09324035286767052,0.1937730864181631,-0.08512644784101274,0.04407465853849956,0.13116594594543873,-0.07142472683826556,-0.12470502154698165,0.10211198577497724,New York_NY,1,False,False,False,False,False,False,True,False,False,0,Not Specified,True,False,False,False,False,0,False,False,True,83268.0,83268.0,14954.0,19.730574870367192
