title,company,location,salary,description,skills,source,salary_min,salary_max,salary_period,standardized_title,experience_years,education_level,city,state,standardized_title_encoded,company_encoded,city_encoded,state_encoded,education_level_encoded,salary_period_encoded,source_encoded,salary_min_scaled,salary_max_scaled,experience_years_scaled
Data Scientist,AI Solutions,"Chicago, IL",$63553 - $83311,Small fund exist message across. Rise bank agree tough do treat form. Reduce he key tend part wish stuff customer.,"Computer Vision, Django, Statistics, Kubernetes",CareerBuilder,63553.0,83311.0,annual,Data Scientist,,Bachelor's,Chicago,IL,0,0,3,4,0,0,0,-0.8036991253810352,-0.7597555964697005,
UX/UI Designer,AI Solutions,"San Francisco, CA",$75835 - $94363,Special own on financial. Safe dog fly once similar. Admit receive figure nature week wonder sure. Nation environmental memory. Evening agency carry thus improve.,"Pandas, Scrum, Go",SimplyHired,75835.0,94363.0,annual,UX/UI Designer,,Not Specified,San Francisco,CA,6,0,8,0,2,0,2,0.058816572580341994,-0.04311956283375327,
Software Engineer,SecureIT,"New York, NY",$85303 - $101991,Avoid sure product space event. Color season thousand guess over buy. Style tree serve air although. School break impact voice.,"Data Analysis, React, Hibernate, NLP, Statistics, Git, Power BI, C#, TypeScript",Glassdoor,85303.0,101991.0,annual,Software Engineer,,Not Specified,New York,NY,5,7,7,6,2,0,1,0.7237163143405048,0.45149676584657655,
Machine Learning Engineer,WebWizards,"San Francisco, CA",$51522 - $78388,College president wall tax recently wait fine. Ok value line experience. Production spend wide fill.,"Statistics, Rust, Jenkins, MongoDB",SimplyHired,51522.0,78388.0,annual,Machine Learning Engineer,,Not Specified,San Francisco,CA,2,9,8,0,2,0,2,-1.6485880980380396,-1.0789737645469506,
Machine Learning Engineer,FutureTech,"Chicago, IL",$65528 - $85110,Or street during watch mission a. Out necessary room part long likely enter. Evening reduce training. Agent must early attack news.,"Vue, PyTorch, Linux, TypeScript, Docker",Glassdoor,65528.0,85110.0,annual,Machine Learning Engineer,,Not Specified,Chicago,IL,2,5,3,4,2,0,1,-0.6650027808545965,-0.6431044722830311,
Data Scientist,SecureIT,"Austin, TX",$93062 - $104401,To order security hear mother drive some. With democratic management power work since hand. Must cup per too tend end far. Until their practice be special political. Soon red reveal responsibility sound challenge concern.,"Pandas, Azure, NLP, Git, Kotlin, Windows Server, Ruby, Excel",SimplyHired,93062.0,104401.0,annual,Data Scientist,,Not Specified,Austin,TX,0,7,1,7,2,0,2,1.2685998268370302,0.6077664764023704,
Product Manager,TechCorp,"Los Angeles, CA",$78605 - $102828,Career agree man. Floor ever some final person film. Rich someone first commercial when time moment. Computer animal concern certain both.,"MongoDB, TensorFlow, Agile, Swift",Glassdoor,78605.0,102828.0,annual,Product Manager,,Not Specified,Los Angeles,CA,4,8,5,0,2,0,1,0.25334258490349904,0.5057696902180286,
Cloud Engineer,DataWorks,"Seattle, WA",$83566 - $101431,Feeling claim from begin catch visit increase people. Hundred statement choose national. Past product author situation understand. Detail star sort effect reach war. Similar thus first meeting tell. Common room scientist civil.,"Git, NumPy, NLP, React, Python, Agile, MongoDB, Data Visualization, JavaScript, Computer Vision",CareerBuilder,83566.0,101431.0,annual,DevOps Engineer,,Not Specified,Seattle,WA,1,3,9,8,2,0,0,0.6017337571544673,0.4151851318585083,
Software Engineer,Cloudify,"New York, NY",$73694 - $91091,Poor listen card structure believe defense. Customer friend way our. Early water must allow.,"Power BI, NLP, Azure, Agile, Tableau, Git, C#, Hibernate",Glassdoor,73694.0,91091.0,annual,Software Engineer,,Not Specified,New York,NY,5,1,7,6,2,0,1,-0.09153728748604041,-0.2552832528497521,
Frontend Developer,AI Solutions,"Seattle, WA",$82562 - $108499,Hospital range building pull section. Over west section note pull. Sometimes crime day oil get store. Stock leg already kind product.,"Rails, C++, PyTorch, Data Visualization, Pandas, C#, GCP, Jenkins, Spring, Hibernate",CareerBuilder,82562.0,108499.0,annual,Software Engineer,,Not Specified,Seattle,WA,5,0,9,8,2,0,0,0.5312268559369765,0.8734898265507699,
Frontend Developer,WebWizards,"Los Angeles, CA",$66583 - $82565,Her word get quickly. Population minute possible. Doctor product toward generation.,"MongoDB, NoSQL, TensorFlow, Tableau, Scrum, C#, Java, Angular, TypeScript, Linux",SimplyHired,66583.0,82565.0,annual,Software Engineer,,Not Specified,Los Angeles,CA,5,9,5,0,2,0,2,-0.5909143537784483,-0.8081278803180915,
Full Stack Developer,TechCorp,"Los Angeles, CA",$87261 - $102098,Continue television decision media research seek hotel reveal. Left experience alone growth without begin try. Offer apply that seem cell model. Oil name computer. Have possible summer popular significant organization. Natural anything card movement.,"Ruby, Django, Git, JavaScript, AWS, Data Visualization, NLP",Glassdoor,87261.0,102098.0,annual,Software Engineer,,Not Specified,Los Angeles,CA,5,8,5,0,2,0,1,0.8612188169140577,0.4584348816264396,
Frontend Developer,DataWorks,"New York, NY",$71028 - $85256,Peace every conference attorney. Sort deal site accept young meeting. Likely you member none TV writer letter. Available mission market goal.,"Angular, TypeScript, Pandas, Data Visualization, Python, Data Analysis, Agile, PHP",CareerBuilder,71028.0,85256.0,annual,Software Engineer,,Not Specified,New York,NY,5,3,7,6,2,0,0,-0.2787597960974255,-0.6336375105647134,
Product Manager,DevOpsPro,"New York, NY",$75791 - $90745,His past view hundred each. Under result bill. Purpose report expert father however. Leader picture four election manager. Nothing break those hair. Coach fish tend write.,"NoSQL, React, Rails, Swift, Data Analysis, MongoDB, Kubernetes, Angular",CareerBuilder,75791.0,90745.0,annual,Product Manager,,Not Specified,New York,NY,4,4,7,6,2,0,0,0.05572662870228462,-0.2777186552780943,
Machine Learning Engineer,CodeMasters,"Atlanta, GA",$73763 - $94568,Whose glass pay win piece military according paper. Between here kid wind. Music forget protect free. Show dog hour star.,"Java, Computer Vision, Rust, REST API, Python",SimplyHired,73763.0,94568.0,annual,Machine Learning Engineer,,Not Specified,Atlanta,GA,2,2,0,3,2,0,2,-0.08669169367726862,-0.02982691110597828,
Backend Developer,SecureIT,"San Francisco, CA",$73609 - $103342,Visit themselves as stage exactly. Answer sometimes outside goal either continue rise perhaps. Start nearly rich reduce unit. Yet law mind. Surface man important news wall arrive born. Mind any speech necessary rule wall itself.,"MongoDB, NumPy, Pandas, NoSQL, Ruby, Go, Jenkins, Scikit-learn",SimplyHired,73609.0,103342.0,annual,Software Engineer,,Master's,San Francisco,CA,5,7,8,0,1,0,2,-0.0975064972504694,0.5390985828427912,
Machine Learning Engineer,SecureIT,"Miami, FL",$99218 - $115114,Add film relationship election. Allow realize news hair. Star guess good himself.,"Flask, Linux, Swift, REST API, SQL, Windows Server, React",SimplyHired,99218.0,115114.0,annual,Machine Learning Engineer,,Master's,Miami,FL,2,7,6,2,1,0,2,1.7009110657761475,1.3024210030348262,
Software Engineer,SecureIT,"Atlanta, GA",$65105 - $92369,Fall ago could girl apply hundred. Far recent whom environmental simple body drop. Information officer green drop car know. Easy method world face. Foreign certainly law allow.,"TensorFlow, Swift, Java, Agile, C++, AWS, Rails, REST API, Excel",Glassdoor,65105.0,92369.0,annual,Software Engineer,,Not Specified,Atlanta,GA,5,7,0,3,2,0,1,-0.6947083776822844,-0.17241491671269632,
DevOps Engineer,CodeMasters,"Seattle, WA",$88926 - $103005,Particular page subject method task force. Nothing say animal accept political start. Company its approach certainly someone instead. Ok quickly among kid.,"Kubernetes, Node.js, R, GCP, TypeScript, C#, AWS, PHP",Glassdoor,88926.0,103005.0,annual,DevOps Engineer,,Not Specified,Seattle,WA,1,2,9,8,2,0,1,0.9781451022996376,0.5172467602464002,
Backend Developer,DataWorks,"Seattle, WA",$87880 - $101220,Really too under admit Republican. Social fine give. Technology together son today whom activity.,"Swift, SQL, Windows Server, PyTorch, TensorFlow, Vue, NLP, Rust, Project Management, Git",SimplyHired,87880.0,101220.0,annual,Software Engineer,,Not Specified,Seattle,WA,5,3,9,8,2,0,2,0.9046887091985466,0.4015034269094326,
Frontend Developer,SecureIT,"Miami, FL",$51852 - $68277,Center situation wish. Care open challenge at story though. Join when when partner. Stock again adult true able. Increase public either through modern audience high. Material response guess read.,"JavaScript, Data Visualization, NumPy, R, React, Statistics, Node.js, Kubernetes",CareerBuilder,51852.0,68277.0,annual,Software Engineer,,Not Specified,Miami,FL,5,7,6,2,2,0,0,-1.6254135189526095,-1.7345932846422332,
Data Scientist,WebWizards,"Miami, FL",$82092 - $100421,Human three scientist. Reason it less. Tough audience back area red. Employee fill size reality second cut watch. Ok glass machine left himself lose daughter. Professional her plan let ask subject.,"Rails, CI/CD, Data Visualization, Scrum, Docker, NoSQL",CareerBuilder,82092.0,100421.0,annual,Data Scientist,,Master's,Miami,FL,0,9,6,2,1,0,0,0.49822063723954546,0.3496945062728852,
UX/UI Designer,AI Solutions,"Denver, CO",$94039 - $122568,Benefit act these sing. Drop traditional sell rest but. Reach argue identify seek.,"Project Management, Windows Server, Excel, AWS, Angular, Rails, Data Visualization, Machine Learning, Statistics, JavaScript",Glassdoor,94039.0,122568.0,annual,UX/UI Designer,,Not Specified,Denver,CO,6,0,4,1,2,0,1,1.3372106261293495,1.785754788297435,
Cloud Engineer,FutureTech,"New York, NY",$66717 - $88984,Vote have follow main federal. Movie whose as lead. Reach yourself evening quality body above.,"C#, Java, Go, Jenkins, Spring, Django",CareerBuilder,66717.0,88984.0,annual,DevOps Engineer,,Not Specified,New York,NY,1,5,7,6,2,0,0,-0.581504070149819,-0.39190577572985896,
DevOps Engineer,FutureTech,"Denver, CO",$83034 - $95592,On safe amount wait beat ready. Media send laugh American. Meeting as nice scene. Letter contain well citizen blood whom religious. Him heart evening much history network lay.,"Node.js, CI/CD, R, Machine Learning, Docker, Git, Rails, MongoDB, React",CareerBuilder,83034.0,95592.0,annual,DevOps Engineer,,Not Specified,Denver,CO,1,5,4,1,2,0,0,0.5643735266288645,0.03657150532934654,
Cloud Engineer,WebWizards,"Chicago, IL",$78759 - $90101,Present decade list billion. The note recently full. Option perform run sense. Real recently child strategy. Three different determine. Serve since born hospital contain.,"JavaScript, Pandas, SQL, Jenkins, TypeScript",Glassdoor,78759.0,90101.0,annual,DevOps Engineer,,Not Specified,Chicago,IL,1,9,3,4,2,0,1,0.26415738847669984,-0.3194770343643728,
Database Administrator,Cloudify,"Seattle, WA",$51700 - $64931,Alone explain since national loss stand these. Really news second hot still. Gas class act fear. Enter try detail until. Trouble skill table various.,"AWS, REST API, Kotlin, NLP, Rust, C++, Data Visualization",SimplyHired,51700.0,64931.0,annual,Other,,Not Specified,Seattle,WA,3,1,9,8,2,0,2,-1.636087870531353,-1.951555297720941,
Database Administrator,TechCorp,"Miami, FL",$76697 - $91399,President myself language voice project work listen action. Nation with hair out mention away whether dog. Police development real town player significant north.,"R, Spring, Excel, AWS, Django, PHP",SimplyHired,76697.0,91399.0,annual,Other,,Not Specified,Miami,FL,3,8,6,2,2,0,2,0.11935138219137498,-0.23531185415631456,
Frontend Developer,DataWorks,"Los Angeles, CA",$73723 - $100675,Skin ago late join. Clear institution successful player major support. Political body wife account. Enough poor minute door financial fear. Tree writer me identify film case. Himself world only fall within admit federal prepare.,"Pandas, Excel, PHP, React, Python, GraphQL, Django, C++",CareerBuilder,73723.0,100675.0,annual,Software Engineer,,Master's,Los Angeles,CA,5,3,5,0,1,0,0,-0.08950073356641168,0.3661644259746161,
DevOps Engineer,Cloudify,"Miami, FL",$57303 - $86802,Treatment way order indeed true. Scene onto beautiful personal consider material what artist. Central produce professional store particularly economic she. Cold determine form prove relate decade. Shoulder relate let themselves tax various bank treat.,"REST API, R, Machine Learning, Angular, Scikit-learn",Glassdoor,57303.0,86802.0,annual,DevOps Engineer,,Master's,Miami,FL,1,1,6,2,1,0,1,-1.2426116080596386,-0.5333914638762249,
Machine Learning Engineer,AI Solutions,"New York, NY",$65070 - $79104,Start cause card quality summer program. Behavior author figure anything miss reality. Child everything beyond might short set truth. Open know writer that in discuss. Behavior continue writer. Gun many everyone law relate year along learn.,"Tableau, Rails, Data Analysis, PHP",CareerBuilder,65070.0,79104.0,annual,Machine Learning Engineer,,Not Specified,New York,NY,2,0,7,6,2,0,0,-0.6971662875852845,-1.0325467468050633,
Cybersecurity Analyst,DataWorks,"Atlanta, GA",$96119 - $123295,Western school region your. National make them set give. Cell despite could key main teach media. Hard pull second issue successful the.,"Rails, PyTorch, R, Java, Statistics, Azure",CareerBuilder,96119.0,123295.0,annual,Other,,Not Specified,Atlanta,GA,3,3,0,3,2,0,0,1.4832807003647888,1.8328950702783735,
UX/UI Designer,InnovateX,"Denver, CO",$82075 - $103378,Suffer job true. Life international crime each once. Own how American difference meeting manage. Summer statement loss none some against necessary hand. Picture institution whose democratic their.,"PyTorch, Power BI, Vue",Glassdoor,82075.0,103378.0,annual,UX/UI Designer,,Not Specified,Denver,CO,6,6,4,1,2,0,1,0.49702679528665966,0.5414329021705956,
Cloud Engineer,AI Solutions,"San Francisco, CA",$85876 - $111243,Agent no gas. Others similar become there. Speech manage fall pull ability decade. Draw class both six quality. Push play law region dog free mission. Red head hold born.,"C#, NumPy, Azure, Data Analysis, SQL",CareerBuilder,85876.0,111243.0,annual,DevOps Engineer,,Not Specified,San Francisco,CA,1,0,8,0,2,0,0,0.7639558107524791,1.0514168330923044,
DevOps Engineer,DataWorks,"Chicago, IL",$87332 - $100223,Become successful effect last their. Few write security. Worker use page arrive drug study. Kind tax huge investment idea this. Standard wait direction away.,"Pandas, SQL, Rails, C++, PHP, Deep Learning, C#",Glassdoor,87332.0,100223.0,annual,DevOps Engineer,,Not Specified,Chicago,IL,1,3,3,4,2,0,1,0.8662048627172866,0.33685574996996104,
Full Stack Developer,FutureTech,"San Francisco, CA",$85677 - $103657,Training order avoid common we may. Find recognize speak hit morning. Health spring large morning happy recent. Network fear like child involve defense already. Recognize fly wait south.,"Azure, Pandas, Data Visualization",SimplyHired,85677.0,103657.0,annual,Software Engineer,,Not Specified,San Francisco,CA,5,5,8,0,2,0,2,0.7499808373039925,0.5595238769610796,
Cloud Engineer,AI Solutions,"Los Angeles, CA",$68284 - $91705,Public production truth. Long movie this even explain. Administration skill figure seven social a foreign too. She explain nature happen yeah individual hear. Store hour statement ground yard.,"GraphQL, Vue, Swift",SimplyHired,68284.0,91705.0,annual,DevOps Engineer,,Not Specified,Los Angeles,CA,1,0,5,0,2,0,2,-0.47145993249263957,-0.21547013986997726,
Data Scientist,InnovateX,"Atlanta, GA",$73064 - $95835,Article head opportunity pretty meet agree hundred. Court item condition article always across professor. Police marriage four as again certainly foreign condition. Contain environmental buy. Together fine test better.,"Hibernate, Windows Server, Data Visualization, Kubernetes, Scikit-learn, Git, Kotlin, C#",Glassdoor,73064.0,95835.0,annual,Data Scientist,,Not Specified,Atlanta,GA,0,6,0,3,2,0,1,-0.13577966574004363,0.052328160792026165,
Machine Learning Engineer,FutureTech,"Atlanta, GA",$66293 - $82508,View do surface risk herself. Eye inside take enough factor. Finally each seem hotel audience heavy.,"Linux, Rails, Project Management, R, MongoDB, Flask, C#, NoSQL, SQL",SimplyHired,66293.0,82508.0,annual,Machine Learning Engineer,,Not Specified,Atlanta,GA,2,5,0,3,2,0,2,-0.6112798929747355,-0.8118238859204484,
Cybersecurity Analyst,TechCorp,"Atlanta, GA",$69894 - $92043,Throw try amount table. World dinner the movement friend common your. Special kid young artist good.,"CI/CD, Data Visualization, Ruby, Statistics, Azure, Vue, Machine Learning",CareerBuilder,69894.0,92043.0,annual,Other,,Not Specified,Atlanta,GA,3,8,0,3,2,0,0,-0.3583960769546313,-0.19355347507003606,
Data Scientist,AI Solutions,"Austin, TX",$70301 - $83259,Away catch help fish agency. Never standard now stand. Movement just everybody stage anyone term appear.,"Scrum, PyTorch, Windows Server, Vue, Django, C++, Swift, Kubernetes, Computer Vision",CareerBuilder,70301.0,83259.0,annual,Data Scientist,,Not Specified,Austin,TX,0,0,1,7,2,0,0,-0.32981409608260065,-0.7631273910543068,
Cloud Engineer,DataWorks,"Atlanta, GA",$68481 - $89427,Now test factor all throw budget. Recently picture card not everybody family. Seek talk simply year provide successful.,"Unix, Machine Learning, Windows Server",SimplyHired,68481.0,89427.0,annual,DevOps Engineer,,Not Specified,Atlanta,GA,1,3,0,3,2,0,2,-0.45762541103861,-0.36318067955715494,
Machine Learning Engineer,DataWorks,"Los Angeles, CA",$85495 - $106907,Sometimes side floor safe. Least wind include safe write mean much. Of improve information defense particular hear floor. Past current detail. Them hot central view key need author. And fish PM professional wife him.,"Tableau, Azure, Jenkins, Swift, Machine Learning",SimplyHired,85495.0,106907.0,annual,Machine Learning Engineer,,Not Specified,Los Angeles,CA,2,3,5,0,2,0,2,0.7371997058083914,0.7702610384989758,
Data Scientist,FutureTech,"Miami, FL",$89876 - $100000,Husband manager attention learn around wonder because. Manage reduce town year behind sense others. Study ten last detail somebody. Owner brother spend record tree.,"Swift, Statistics, MongoDB, Scikit-learn",Glassdoor,89876.0,100000.0,annual,Data Scientist,,Bachelor's,Miami,FL,0,5,6,2,0,0,1,1.0448597996667854,0.32239593857828386,
Backend Developer,TechCorp,"Seattle, WA",$92213 - $102311,Personal rock food campaign. When guy nothing age wrong. Paper account visit get. Mind but what place. Congress hope start ten bad question score.,"REST API, PyTorch, Statistics, Docker, SQL, Vue, Spring, CI/CD, Angular, JavaScript",CareerBuilder,92213.0,102311.0,annual,Software Engineer,,Bachelor's,Seattle,WA,5,8,9,8,0,0,0,1.2089779551899686,0.47224627098261557,
Product Manager,WebWizards,"New York, NY",$86613 - $104089,Commercial site whole why hand purpose along. Represent air keep national upon mind participant word. Indeed material book something see by every.,"REST API, Azure, Deep Learning, C++, Linux, Windows Server, Vue, Go",Glassdoor,86613.0,104089.0,annual,Product Manager,,Not Specified,New York,NY,4,9,7,6,2,0,1,0.8157123707099401,0.5875357088947323,
UX/UI Designer,TechCorp,"Austin, TX",$51775 - $77209,Scientist short child short. Road four resource once rest. Despite onto tough available. Cultural charge against trial perhaps. Hair candidate activity want fact suffer film.,"Windows Server, PHP, Agile, CI/CD, Django, Data Analysis",CareerBuilder,51775.0,77209.0,annual,UX/UI Designer,,Not Specified,Austin,TX,6,8,1,7,2,0,0,-1.63082092073921,-1.1554227225325442,
Frontend Developer,DevOpsPro,"Seattle, WA",$79570 - $93694,Glass area begin report rise between become. Value official city office yeah tough at. Century challenge art scene choose large perhaps.,"Spring, GraphQL, Machine Learning, CI/CD, Go",CareerBuilder,79570.0,93694.0,annual,Software Engineer,,Not Specified,Seattle,WA,5,4,9,8,2,0,0,0.3211106722290754,-0.08649899700878481,
DevOps Engineer,FutureTech,"Los Angeles, CA",$64674 - $75019,Go impact rule any. Level computer ask information see today state. Pretty ground family of. Save reality everyone hold leave serve for. Week buy structure.,"Ruby, SQL, Node.js, Statistics, Data Visualization, Python, C++, Java, Machine Learning",Glassdoor,64674.0,75019.0,annual,DevOps Engineer,,Not Specified,Los Angeles,CA,1,5,5,0,2,0,1,-0.7249757824878009,-1.2974271483073112,
Software Engineer,AI Solutions,"Denver, CO",$75789 - $89087,Loss state budget simply method such agent. Next see sure fact key. Former child interest low bill arrive eight. Become hair life record information student.,"Django, Ruby, GraphQL, MongoDB, Go, Deep Learning, Data Visualization",SimplyHired,75789.0,89087.0,annual,Software Engineer,,Not Specified,Denver,CO,5,0,4,1,2,0,2,0.05558617670782747,-0.3852270287641964,
Data Scientist,DevOpsPro,"New York, NY",$51906 - $72788,Later perhaps strategy not long. Try television option media room. Individual remember moment girl. Significant similar instead big movement mouth. Ground religious tree message career decade sport. Company quality contain that.,"Kubernetes, Excel, Rails, Docker, Tableau, React, Python, Machine Learning, Kotlin",Glassdoor,51906.0,72788.0,annual,Data Scientist,,Not Specified,New York,NY,0,4,7,6,2,0,1,-1.6216213151022663,-1.4420901044276333,
Full Stack Developer,SecureIT,"Miami, FL",$72211 - $97590,Pattern choice rock benefit. Which movement expect behind suggest need. Body teach radio government modern feeling. Money indicate not economy keep budget guy property.,"Angular, Pandas, C#, Node.js",CareerBuilder,72211.0,97590.0,annual,Software Engineer,,Not Specified,Miami,FL,5,7,6,2,2,0,0,-0.19568244137601942,0.16612622802249008,
Database Administrator,InnovateX,"San Francisco, CA",$61721 - $75773,Information seem civil quickly compare modern. Growth stop recently product set whom. Save it everything least life claim throughout. Mrs authority represent easy company practice. Marriage from activity billion.,"Angular, Computer Vision, Go, Project Management, Tableau, Linux",CareerBuilder,61721.0,75773.0,annual,Other,,Not Specified,San Francisco,CA,3,6,8,0,2,0,0,-0.9323531523037875,-1.2485361268305193,
UX/UI Designer,FutureTech,"New York, NY",$69828 - $88316,Doctor shoulder along decision fine effort learn challenge. Identify main hundred recognize explain. Crime world wall near continue reality himself doctor. Market blood agreement exactly impact.,"REST API, C#, Angular, TensorFlow",SimplyHired,69828.0,88316.0,annual,UX/UI Designer,,Master's,New York,NY,6,5,7,6,1,0,2,-0.36303099277171735,-0.43522036770134037,
Full Stack Developer,FutureTech,"Los Angeles, CA",$79923 - $101919,Particularly wonder hour discuss as process. Game individual bill woman business. Yourself always throughout turn during large natural. Enter certain training store politics power pull. Audience common area parent character probably.,"Hibernate, MongoDB, Linux",SimplyHired,79923.0,101919.0,annual,Software Engineer,,Bachelor's,Los Angeles,CA,5,5,5,0,0,0,2,0.3459004492507629,0.44682812719096776,
Backend Developer,WebWizards,"Boston, MA",$51221 - $75239,Product organization point morning until add behavior. Safe act field poor. Manager worker watch. Commercial pull long. Economy theory scene thus.,"NoSQL, Rust, Hibernate",Glassdoor,51221.0,75239.0,annual,Software Engineer,,Not Specified,Boston,MA,5,9,2,5,2,0,1,-1.6697261232038412,-1.2831618635262845,
Product Manager,FutureTech,"San Francisco, CA",$51957 - $79510,Leader contain indeed Mr door last manage check. Manage most near relationship. Score catch carry expert. Public treat likely as material. Arm exactly not economy clear history foreign.,"React, Unix, Data Analysis, MongoDB, GCP, Java, C++, Power BI, Excel, SQL",Glassdoor,51957.0,79510.0,annual,Product Manager,,Not Specified,San Francisco,CA,4,5,8,0,2,0,1,-1.618039789243609,-1.0062208121637137,
Software Engineer,CodeMasters,"Seattle, WA",$57425 - $84728,Model world someone think land. Establish right reach identify defense fear under. Mouth personal less personal serious PM few. Onto itself art public off herself if. Production sometimes have economy behind peace current prevent.,"PHP, Power BI, MongoDB, NoSQL, GraphQL, Docker, NLP, Unix",CareerBuilder,57425.0,84728.0,annual,Software Engineer,,Not Specified,Seattle,WA,5,2,9,8,2,0,0,-1.2340440363977523,-0.6678741940391777,
